29389.0 2	9786.0 3	0123.0 3	0051.0 2	9754.0 3	0030.0 2	9575.0 2	9392.0 2	9248.0 2	8775.0 2	8750.0 2	8842.0 2	8818.0 2	9313.0 2	8998.0 2	8906.0 2	8946.0 2	8498.0 2	8668.0 2	8647.0 2	8401.0 2	8693.0 2	9344.0 2	9774.0 2	9781.0 2	9926.0 3	0781.0 3	1627.0 3	2288.0 3	2352.0 3	2714.0 3	2235.0 3	2176.0 3	2328.0 3	2566.0 3	2348.0 3	2989.0 3	3411.0 3	3370.0 3	2993.0 3	2848.0 3	2688.0 3	2807.0 3	3107.0 3	3875.0 3	3641.0 3	3745.0 3	4076.0 3	5140.0 3	6644.0 3	7087.0 3	6200.0 3	4797.0 3	3701.0 3	3489.0 3	3328.0 3	2735.0 3	2605.0 3	2316.0 3	1996.0 3	1605.0 3	0962.0 3	0813.0 3	0601.0 2	9981.0 2	9458.0 2	9597.0 2	9388.0 2	9072.0 2	9221.0 2	9042.0 2	9047.0 2	8501.0 2	8082.0 2	7480.0 2	7290.0 2	6472.0 2	5950.0 2	5175.0 2	4597.0 2	3946.0 2	3333.0 2	2728.0 2	2693.0 2	2270.0 2	2116.0 2	2076.0 2	1986.0 2	1840.0 2	1794.0 2	1741.0 2	1481.0 2	1219.0 2	0735.0 2	0545.0 2	0004.0 1	9467.0 1	8615.0 1	8013.0 1	7568
30400	30967	31078	30841	30429	29984	30053	29916	29405	29235	29353	28687	28752	28836	28944	28637	28579	28711	29100	28971	29017	28458	28691	28490	29549	29785	30575	31089	31443	32516	31984	32425	32564	32505	32718	33455	33426	33281	32859	32564	31949	32389	32678	32818	33393	32826	32594	33072	34134	35687	36323	35606	34688	34136	33415	33757	33531	33128	32704	32505	32327	31799	31837	31039	30187	29390	28912	28656	29027	28785	28419	27936	28079	27768	26965	27042	26557	26112	25629	25101	24342	23437	23155	22598	22474	22499	22192	22659	22143	22173	21806	21350	21146	20892	20683	20250	19736	18880	18067	17612
32557	32922	32167	31004	29993	29862	29569	29894	29711	29308	28903	28546	28191	28364	28314	28635	28745	28276	28612	28468	28214	28368	28493	28924	29023	29885	30157	31165	31788	31971	32717	32337	32571	32655	33185	33496	33523	33215	33241	33035	32763	32790	32401	33079	32580	32633	32332	32600	33677	33976	34975	35500	34644	33659	33862	34109	33222	32875	32826	32385	32736	33131	32630	31729	30911	30199	29383	28833	28713	28207	27861	27535	26828	26719	26721	26674	26328	26116	26030	25569	24857	23922	23299	23083	22632	22458	22591	22454	22287	22244	21785	21969	21092	20886	20972	20646	19932	18995	18321	17875
33865	33831	32554	31159	30479	30174	30669	30598	30316	29486	29093	28654	28280	28156	27826	28014	28035	28105	28491	28855	28722	28197	28582	28734	29335	29774	30588	31067	31443	31949	31780	32190	32395	32505	32883	33224	33913	33643	33500	33117	33070	32810	32844	32507	32458	32108	32526	32455	32824	34192	35238	35221	34909	34255	33782	33495	33584	33433	33367	33693	33890	33981	34185	32791	31949	30812	30490	29636	28606	28023	27391	26767	26803	26364	25959	25931	26259	26049	26060	25536	25086	24239	23308	23249	22568	22697	22690	22444	22393	22030	21972	21606	21209	21055	20630	20436	19768	19023	18383	17986
33929	33866	32628	31703	30415	30504	30950	30746	30414	29719	29188	28172	27745	27629	27582	27230	27498	27704	28279	28457	28514	28843	28760	28949	28933	29968	30500	31185	31555	31450	31614	31776	31957	32140	33216	33061	33073	33480	33578	33625	33687	33316	33169	33408	33009	32837	32383	32967	33680	34789	35234	35366	34767	33955	33641	33704	33841	33783	33946	34442	34606	34879	34487	34435	32960	32490	30926	30348	29485	28096	26849	26554	26114	25947	25806	25922	25422	25161	25326	25368	25033	24389	23853	23154	22609	22263	22460	21955	22252	21914	21646	21575	21416	20834	20628	20069	19519	18919	18198	18200
32761	32827	32366	31531	30985	30815	30797	30660	30507	30088	29167	28341	27865	27892	27658	27586	27784	28011	27947	28341	28695	28926	29727	29191	29790	29727	30494	30698	31001	30779	31301	31205	31075	31604	32246	33077	33206	33236	33427	34008	33418	33532	33888	34182	33642	33617	34073	33864	34935	35832	36079	35095	34665	33927	33741	33581	33787	34297	34367	34713	34830	35341	35021	33924	33187	32654	32380	31700	29924	28338	27208	26314	25515	25574	25414	24987	25490	25365	25084	24919	25177	24040	23638	23254	22987	22433	22372	22059	22027	21755	21700	21353	20985	20534	19722	19248	18952	18628	18611	18179
31197	31972	31671	31511	31330	31016	31139	30745	30096	29166	28829	28582	28196	27747	28225	28337	27763	27827	28462	28350	29053	29223	29599	29916	29847	30140	30316	30920	30781	30902	30714	30659	30710	31134	31643	32322	33052	33130	33372	33556	33487	34457	33987	34728	34775	35066	34883	35075	35117	35752	35394	34965	34243	33751	33311	33633	33872	34116	34311	34292	34146	34103	33297	32980	32887	32949	32638	31918	30549	28912	27245	26003	25775	24795	24897	25112	25145	24941	25118	24771	24467	24152	23745	23254	22970	22544	22132	21957	21776	21590	21347	21008	20605	19770	19114	18537	18575	18185	18105	18490
30394	30872	31436	31543	31326	31187	30656	30263	29688	29531	28959	28690	28907	28470	28340	28211	28555	28548	28633	29186	29513	30247	30189	30597	30674	30661	30385	30456	30502	30239	30093	29879	30278	30788	31582	32122	32837	33303	33362	33516	34212	33997	34752	34304	34451	34650	34698	34740	35659	34985	35133	34652	34353	33663	33748	33986	34229	34155	34313	33952	33611	32693	32775	32286	32099	32109	32229	31847	30950	29223	27367	26108	25480	25157	24901	25031	24687	25052	24624	24591	24348	24170	23428	23348	23326	22700	22488	21885	21543	21344	21289	21170	20141	19432	18704	18292	18191	18106	18358	18581
30241	30488	31134	31290	31475	30843	30271	29516	29564	29260	29195	29542	29017	29612	29034	29103	28747	28821	29418	29181	29469	30091	30717	30406	30296	30918	30778	30793	29918	30105	29947	30045	30142	30919	31116	32086	33156	32990	33901	33725	33997	34350	34057	34388	34286	34347	34371	34921	34767	35451	35140	34343	33677	33181	32865	33376	33606	33485	33772	33161	32775	32375	31816	31790	31882	31671	31636	31907	31297	29862	28127	26553	25885	25373	25155	25011	25303	24950	25356	24569	24521	24331	23956	23734	23014	22657	22427	21923	21601	21350	21254	20971	20074	18949	18723	18041	17861	17892	18051	18359
29649	30496	30806	31644	31304	30878	30001	29387	29053	29234	29803	29630	29876	29354	29440	29563	29310	29698	29628	30086	30649	30295	30579	31014	31043	30334	30555	30319	30066	29563	29781	29774	30181	30520	31581	32155	32473	33151	33976	34071	34728	34740	34844	34148	34150	33835	34436	34577	35185	35425	35020	34810	33903	33932	33464	32893	33233	33299	33307	32976	32019	31416	31416	31213	31520	31547	31947	31862	31411	30416	28759	27457	26801	26039	25996	25774	25597	25557	25442	25385	24735	24431	24037	23978	23457	23106	22554	22324	21629	21680	21027	20295	19711	19201	18257	17788	17640	17715	18051	18286
29787	30799	31384	31615	31862	30808	30110	29612	29466	29112	29692	30033	29650	29835	29747	29463	29383	29675	29876	30234	30229	30583	30882	30315	30582	30549	30306	29673	29886	29293	29209	29641	29886	31009	31140	31845	32863	33219	33790	34487	35128	35060	34573	33819	33396	33882	34379	34954	35137	34952	34997	34652	33799	33296	32882	33162	32842	33006	32925	32462	31839	31506	31236	31389	31389	31412	31233	32084	31471	30527	29404	28279	27072	26782	26309	26293	25971	25567	25166	25663	25268	24605	24081	23944	23748	23196	22686	22384	21873	21065	20871	20115	19617	18816	18132	18220	17864	17852	17968	18276
